"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AAEL0018671",4.71399604337741e-43,1.03218930363457,0.91,0.392,5.61672628568418e-39,"16","AAEL001867"
"AAEL005581",1.55328352899983e-41,1.03095690602618,0.46,0.091,1.8507373248033e-37,"16","AAEL005581"
"AAEL0260431",2.10719303214332e-40,1.00141867231236,0.57,0.137,2.51072049779876e-36,"16","AAEL026043"
"AAEL0122482",3.42751099327551e-97,1.24758510267261,0.701,0.092,4.08387934848777e-93,"17","AAEL012248"
"AAEL0279261",8.14246314440999e-95,1.26765295699965,0.784,0.12,9.7017448365645e-91,"17","AAEL027926"
"AAEL0090241",6.98054900479392e-85,1.36448868388401,0.845,0.172,8.31732413921195e-81,"17","AAEL009024"
"AAEL0059781",5.8265547084437e-61,1.09141333017181,1,0.546,6.94233993511067e-57,"17","AAEL005978"
"AAEL0225392",1.08241903984304e-59,1.1733526330845,0.959,0.421,1.28970228597298e-55,"17","AAEL022539"
"AAEL0080312",9.33801425606507e-59,1.09936255285607,0.732,0.161,1.11262439861015e-54,"17","AAEL008031"
"AAEL0026843",9.94710693332386e-55,1.10867621332583,0.928,0.283,1.18519779110554e-50,"17","AAEL002684"
"AAEL0018672",1.15635568138477e-54,1.14795352357406,0.969,0.391,1.37779779436995e-50,"17","AAEL001867"
"AAEL0034071",1.07236538072678e-50,1.16011035727629,0.835,0.3,1.27772335113596e-46,"17","AAEL003407"
"AAEL0254772",8.18280968851766e-38,1.09499295133782,0.639,0.179,9.74981774386879e-34,"17","AAEL025477"
"AAEL0182192",1.39724576196453e-26,1.03466357966537,0.608,0.227,1.66481832538073e-22,"17","AAEL018219"
"AAEL0095412",1.03459559679504e-110,1.67875994713604,0.989,0.203,1.23272065358129e-106,"18","AAEL009541"
"AAEL0204991",1.94554292757139e-78,1.39124899378612,0.863,0.192,2.31811439820131e-74,"18","AAEL020499"
"AAEL0198091",2.6931718029892e-58,1.00632135342756,0.537,0.085,3.20891420326164e-54,"18","AAEL019809"
"AAEL0119812",3.66349763552094e-45,1.04280464576855,0.905,0.343,4.3650574327232e-41,"18","AAEL011981"
"AAEL005765",3.56847779196048e-279,1.82547087710638,0.968,0.06,4.25184128912091e-275,"19","AAEL005765"
"AAEL0204992",1.25215634732119e-90,1.39841218226634,0.936,0.191,1.4919442878332e-86,"19","AAEL020499"
"AAEL0027651",1.05784983590111e-87,1.333018719694,0.83,0.148,1.26042807947618e-83,"19","AAEL002765"
"AAEL006478",7.13506442076537e-66,1.2550532500878,0.777,0.167,8.50142925734194e-62,"19","AAEL006478"
"AAEL0138823",1.65375186645291e-60,1.18723794697871,0.894,0.23,1.97044534887864e-56,"19","AAEL013882"
"AAEL0059782",5.878111296628e-55,1.01781826536012,1,0.546,7.00376960993226e-51,"19","AAEL005978"
"AAEL0018673",3.55141579235794e-50,1.1072122648104,0.979,0.391,4.23151191659448e-46,"19","AAEL001867"
"AAEL0071202",1.05740448878381e-49,1.02282606728436,0.681,0.152,1.25989744838591e-45,"19","AAEL007120"
"AAEL011702",2.06290913173174e-170,1.70439405970544,0.878,0.067,2.45795623045836e-166,"20","AAEL011702"
"AAEL0043961",1.16873335606698e-53,1.36717500002106,0.932,0.302,1.39254579375381e-49,"20","AAEL004396"
"AAEL0254711",4.33865383293964e-47,1.1982012236481,0.865,0.248,5.16950604194758e-43,"20","AAEL025471"
"AAEL0012281",1.42332927842287e-46,1.07329179166294,0.568,0.095,1.69589683524085e-42,"20","AAEL001228"
"AAEL0182481",2.31433199768241e-45,1.19366736467854,0.932,0.403,2.7575265752386e-41,"20","AAEL018248"
"AAEL0011812",2.28688529907632e-43,1.13553432961023,0.986,0.428,2.72482383384943e-39,"20","AAEL001181"
"AAEL0210824",5.2087338299783e-42,1.09505782244469,0.973,0.467,6.20620635841914e-38,"20","AAEL021082"
"AAEL0100433",6.8746446727315e-36,1.0356707579303,0.811,0.266,8.19113912755958e-32,"20","AAEL010043"
"AAEL0064781",1.7628260634751e-88,1.82201319306384,0.969,0.168,2.10040725463059e-84,"21","AAEL006478"
