"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pharaoh-ant-06557",1.96746404999606e-207,1.40790679311005,0.252,0.027,2.39794518413519e-203,"18","Pharaoh-ant-06557"
"Pharaoh-ant-181655",2.40417166128818e-201,1.63677208318527,0.823,0.309,2.93020442077803e-197,"18","Pharaoh-ant-18165"
"Pharaoh-ant-097665",8.45742273331713e-189,1.72412981238062,0.664,0.205,1.03079068273669e-184,"18","Pharaoh-ant-09766"
"Pharaoh-ant-087986",1.15678967012598e-185,1.4220481211538,0.892,0.365,1.40989524994954e-181,"18","Pharaoh-ant-08798"
"Pharaoh-ant-17114",9.84013053173802e-183,1.31311144819268,0.283,0.039,1.19931510920823e-178,"18","Pharaoh-ant-17114"
"Pharaoh-ant-012346",3.20566690379551e-182,1.61008927655504,0.838,0.366,3.90706682234596e-178,"18","Pharaoh-ant-01234"
"Pharaoh-ant-021016",9.88560146960711e-180,1.58206608097832,0.909,0.53,1.20485710711572e-175,"18","Pharaoh-ant-02101"
"Pharaoh-ant-176981",1.13928851567923e-177,1.7603372323029,0.593,0.169,1.38856484290984e-173,"18","Pharaoh-ant-17698"
"Pharaoh-ant-096967",1.21416412767311e-175,1.49493851742649,0.912,0.486,1.47982323880799e-171,"18","Pharaoh-ant-09696"
"Pharaoh-ant-032915",1.87218972426415e-175,1.43896966791395,0.603,0.167,2.28182483593314e-171,"18","Pharaoh-ant-03291"
"Pharaoh-ant-149705",5.97639575219769e-173,1.57357747806892,0.821,0.336,7.28403114277855e-169,"18","Pharaoh-ant-14970"
"Pharaoh-ant-183654",9.06889894460681e-168,1.62897973599798,0.627,0.198,1.10531740336868e-163,"18","Pharaoh-ant-18365"
"Pharaoh-ant-179366",1.23047614965593e-156,1.53214911203406,0.861,0.477,1.49970433120064e-152,"18","Pharaoh-ant-17936"
"Pharaoh-ant-11243",1.99279934749492e-152,1.39523994666132,0.328,0.06,2.42882384472681e-148,"18","Pharaoh-ant-11243"
"Pharaoh-ant-15748",9.1912700137771e-152,1.28510743993576,0.278,0.044,1.12023198927915e-147,"18","Pharaoh-ant-15748"
"Pharaoh-ant-109045",2.4644514282981e-150,1.23674380145461,0.95,0.719,3.00367340080972e-146,"18","Pharaoh-ant-10904"
"Pharaoh-ant-032943",2.5463613617965e-148,1.59276521043774,0.467,0.121,3.10350522775757e-144,"18","Pharaoh-ant-03294"
"Pharaoh-ant-181263",2.72136819328846e-148,1.41549354598316,0.939,0.682,3.31680355397998e-144,"18","Pharaoh-ant-18126"
"Pharaoh-ant-149756",1.22738954329663e-147,1.50172517973676,0.642,0.225,1.49594237536993e-143,"18","Pharaoh-ant-14975"
"Pharaoh-ant-183442",5.21077939423254e-147,1.70859672636201,0.7,0.284,6.35089792569062e-143,"18","Pharaoh-ant-18344"
"Pharaoh-ant-005916",9.85003235836561e-144,1.43727539557217,0.853,0.442,1.2005219438376e-139,"18","Pharaoh-ant-00591"
"Pharaoh-ant-179377",3.49079503778075e-140,1.37111278672294,0.901,0.565,4.25458099204718e-136,"18","Pharaoh-ant-17937"
"Pharaoh-ant-016837",2.3640816582766e-138,1.31450923410425,0.818,0.376,2.88134272510752e-134,"18","Pharaoh-ant-01683"
"Pharaoh-ant-051995",1.25242955883483e-134,1.21384347813863,0.929,0.609,1.52646114630789e-130,"18","Pharaoh-ant-05199"
"Pharaoh-ant-120516",7.76860331771895e-133,1.21046743024869,0.892,0.52,9.46837372363586e-129,"18","Pharaoh-ant-12051"
"Pharaoh-ant-056763",2.1072747565066e-130,1.53554996766991,0.733,0.346,2.56834647323025e-126,"18","Pharaoh-ant-05676"
"Pharaoh-ant-028866",2.56662643729474e-129,1.33008885933899,0.818,0.429,3.12820430177483e-125,"18","Pharaoh-ant-02886"
"Pharaoh-ant-141762",1.80395815315585e-127,1.4099098641509,0.364,0.084,2.19866419706635e-123,"18","Pharaoh-ant-14176"
"Pharaoh-ant-07874",3.66728097505775e-125,1.51418874628705,0.27,0.049,4.46968205240038e-121,"18","Pharaoh-ant-07874"
"Pharaoh-ant-100994",1.67211388363364e-122,1.32955339281983,0.459,0.129,2.03797240137268e-118,"18","Pharaoh-ant-10099"
"Pharaoh-ant-134715",1.30761117798947e-120,1.16057971821206,0.914,0.653,1.59371650373357e-116,"18","Pharaoh-ant-13471"
"Pharaoh-ant-094264",2.50290716475195e-117,1.3066903089439,0.772,0.391,3.05054325239968e-113,"18","Pharaoh-ant-09426"
"Pharaoh-ant-140573",5.49113515521486e-117,1.2458206485829,0.548,0.182,6.69259552717587e-113,"18","Pharaoh-ant-14057"
"Pharaoh-ant-159255",8.89448887469511e-117,1.3679797359808,0.505,0.159,1.08406030404784e-112,"18","Pharaoh-ant-15925"
"Pharaoh-ant-063995",7.06471342420948e-116,1.11174395928706,0.909,0.617,8.61047272142651e-112,"18","Pharaoh-ant-06399"
"Pharaoh-ant-166025",8.66237201541654e-116,1.02319544268378,0.962,0.788,1.05576990123897e-111,"18","Pharaoh-ant-16602"
"Pharaoh-ant-083335",2.80552342138597e-115,1.29277596341511,0.881,0.559,3.41937194598521e-111,"18","Pharaoh-ant-08333"
"Pharaoh-ant-133146",5.58954645315733e-109,1.17458635907242,0.614,0.229,6.81253921710815e-105,"18","Pharaoh-ant-13314"
"Pharaoh-ant-170811",3.82518037196027e-108,1.40808223025259,0.397,0.113,4.66212983734518e-104,"18","Pharaoh-ant-17081"
"Pharaoh-ant-053164",2.40167293375985e-105,1.19766332389544,0.409,0.116,2.92715897166651e-101,"18","Pharaoh-ant-05316"
"Pharaoh-ant-123434",5.04755593848319e-104,1.34894065768544,0.737,0.389,6.15196117782332e-100,"18","Pharaoh-ant-12343"
"Pharaoh-ant-076545",1.53652248360274e-102,1.27983284186447,0.732,0.382,1.87271360301502e-98,"18","Pharaoh-ant-07654"
"Pharaoh-ant-145092",3.68321008989184e-101,1.32315776717401,0.387,0.111,4.48909645756018e-97,"18","Pharaoh-ant-14509"
"Pharaoh-ant-149733",8.49095856431366e-101,1.28985800131054,0.644,0.288,1.03487802981855e-96,"18","Pharaoh-ant-14973"
"Pharaoh-ant-18343",4.45483574822799e-100,1.34560875305289,0.404,0.121,5.42955380994027e-96,"18","Pharaoh-ant-18343"
"Pharaoh-ant-220036",3.01535447666146e-96,1.17245041553896,0.462,0.15,3.67511403615499e-92,"18","Pharaoh-ant-22003"
"Pharaoh-ant-171125",2.38234215509001e-95,1.1928697784842,0.695,0.339,2.90359861862371e-91,"18","Pharaoh-ant-17112"
"Pharaoh-ant-122364",1.83386831583155e-91,1.12121863590302,0.444,0.145,2.23511870333549e-87,"18","Pharaoh-ant-12236"
"Pharaoh-ant-11557",2.3260936672337e-89,1.11461000962807,0.308,0.079,2.83504296162443e-85,"18","Pharaoh-ant-11557"
"Pharaoh-ant-076976",4.19928498590626e-86,1.02732073514906,0.733,0.36,5.11808854082255e-82,"18","Pharaoh-ant-07697"
"Pharaoh-ant-136563",2.01415882071993e-84,1.203627501085,0.472,0.173,2.45485677069344e-80,"18","Pharaoh-ant-13656"
