"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pharaoh-ant-05649",4.41174279781957e-245,2.21327117198521,0.361,0.031,5.3770321219825e-241,"29","Pharaoh-ant-05649"
"Pharaoh-ant-13170",3.29708234819314e-235,2.23059241500133,0.384,0.037,4.0184839659778e-231,"29","Pharaoh-ant-13170"
"Pharaoh-ant-22163",5.97029008921605e-235,2.22238333962321,0.499,0.062,7.27658956073652e-231,"29","Pharaoh-ant-22163"
"Pharaoh-ant-136731",2.15107635279267e-232,2.98128713431512,0.815,0.193,2.62173185878371e-228,"29","Pharaoh-ant-13673"
"Pharaoh-ant-07850",5.87738001404723e-229,2.78592607304802,0.415,0.045,7.16335076112077e-225,"29","Pharaoh-ant-07850"
"Pharaoh-ant-097981",3.30678059687578e-227,2.35928738950787,0.518,0.071,4.0303041914722e-223,"29","Pharaoh-ant-09798"
"Pharaoh-ant-050272",1.09924199721919e-222,2.32686155667052,0.616,0.101,1.33975614621075e-218,"29","Pharaoh-ant-05027"
"Pharaoh-ant-081261",4.17850990745233e-221,2.16780947096187,0.459,0.056,5.0927678752029e-217,"29","Pharaoh-ant-08126"
"Pharaoh-ant-15835",1.60072526035819e-213,1.94126221708158,0.381,0.039,1.95096394732456e-209,"29","Pharaoh-ant-15835"
"Pharaoh-ant-07329",1.47681170406969e-210,2.08033859431801,0.392,0.043,1.79993810492014e-206,"29","Pharaoh-ant-07329"
"Pharaoh-ant-02781",1.72972870471258e-205,2.28261067243589,0.431,0.053,2.10819334530369e-201,"29","Pharaoh-ant-02781"
"Pharaoh-ant-16167",4.21000151036305e-197,1.67879641343196,0.261,0.02,5.13114984083048e-193,"29","Pharaoh-ant-16167"
"Pharaoh-ant-040423",2.94018197192399e-194,2.78226180264731,0.843,0.261,3.58349378738095e-190,"29","Pharaoh-ant-04042"
"Pharaoh-ant-02906",5.71727469537307e-188,2.24273242641552,0.476,0.07,6.9682143987207e-184,"29","Pharaoh-ant-02906"
"Pharaoh-ant-113093",8.11299527368458e-182,2.51943754864433,0.824,0.232,9.88811863956677e-178,"29","Pharaoh-ant-11309"
"Pharaoh-ant-07914",1.52850001638431e-181,2.07047395884324,0.445,0.064,1.86293581996919e-177,"29","Pharaoh-ant-07914"
"Pharaoh-ant-02747",8.01547628819933e-178,1.91864988792832,0.345,0.039,9.76926250005735e-174,"29","Pharaoh-ant-02747"
"Pharaoh-ant-151781",5.5456250087992e-174,2.26382096028115,0.44,0.064,6.75900776072447e-170,"29","Pharaoh-ant-15178"
"Pharaoh-ant-210311",1.12724729179333e-169,2.28752271138629,0.361,0.045,1.37388899923771e-165,"29","Pharaoh-ant-21031"
"Pharaoh-ant-152711",4.65510461821704e-167,2.24847160891363,0.462,0.074,5.67364150868293e-163,"29","Pharaoh-ant-15271"
"Pharaoh-ant-051122",1.71835578902982e-165,2.21850032555398,0.647,0.15,2.09433203566955e-161,"29","Pharaoh-ant-05112"
"Pharaoh-ant-078533",1.01098061725386e-163,2.4138248245486,0.978,0.59,1.23218317630901e-159,"29","Pharaoh-ant-07853"
"Pharaoh-ant-07866",2.31858100941739e-158,1.63791111617505,0.269,0.026,2.82588653427791e-154,"29","Pharaoh-ant-07866"
"Pharaoh-ant-173762",2.67527025821111e-157,2.32582817220898,0.748,0.22,3.2606193907077e-153,"29","Pharaoh-ant-17376"
"Pharaoh-ant-07230",1.06602569195039e-152,2.01404479938047,0.451,0.075,1.29927211334913e-148,"29","Pharaoh-ant-07230"
"Pharaoh-ant-027763",5.34061001612023e-152,2.06633127972583,0.927,0.393,6.50913548764734e-148,"29","Pharaoh-ant-02776"
"Pharaoh-ant-08048",1.88617540672195e-148,1.37530154578325,0.255,0.025,2.29887058571271e-144,"29","Pharaoh-ant-08048"
"Pharaoh-ant-088101",6.56732541061763e-144,2.44968651761587,0.742,0.236,8.00425621046076e-140,"29","Pharaoh-ant-08810"
"Pharaoh-ant-012474",1.60609372112628e-140,2.44486316760033,0.608,0.154,1.95750702730871e-136,"29","Pharaoh-ant-01247"
"Pharaoh-ant-051482",1.98206220628823e-136,2.2197737431213,0.521,0.112,2.41573741702409e-132,"29","Pharaoh-ant-05148"
"Pharaoh-ant-112512",6.80802894211456e-131,2.21801018069043,0.543,0.126,8.29762567464922e-127,"29","Pharaoh-ant-11251"
"MPMPB.7650.2",4.17215386786286e-129,1.75160159288669,0.291,0.038,5.08502113415126e-125,"29","MPMPB.7650.2"
"Pharaoh-ant-07356",8.97246660984149e-129,2.06256362890745,0.429,0.081,1.09356423040748e-124,"29","Pharaoh-ant-07356"
"Pharaoh-ant-085471",5.86076722767625e-127,2.55886575892714,0.457,0.093,7.14310309709181e-123,"29","Pharaoh-ant-08547"
"Pharaoh-ant-141621",1.6431739147023e-124,1.78353996266999,0.325,0.048,2.00270036723916e-120,"29","Pharaoh-ant-14162"
"Pharaoh-ant-02933",1.80894444643327e-124,1.90361064744863,0.303,0.042,2.20474149131287e-120,"29","Pharaoh-ant-02933"
"Pharaoh-ant-13048",9.0633516430729e-124,1.96144922796943,0.339,0.052,1.10464129825772e-119,"29","Pharaoh-ant-13048"
"Pharaoh-ant-084642",2.72277341143968e-123,2.15275897020119,0.605,0.162,3.31851623386268e-119,"29","Pharaoh-ant-08464"
"Pharaoh-ant-15249",4.57286231155116e-123,1.73594894042166,0.361,0.058,5.57340458531855e-119,"29","Pharaoh-ant-15249"
"Pharaoh-ant-09920",3.88003163162357e-122,1.62894253176568,0.283,0.037,4.7289825526228e-118,"29","Pharaoh-ant-09920"
"Pharaoh-ant-072282",1.52185201915918e-114,2.15245244574434,0.611,0.173,1.85483324095121e-110,"29","Pharaoh-ant-07228"
"Pharaoh-ant-152194",1.88478698260398e-114,1.94301627317762,0.636,0.187,2.29717837439773e-110,"29","Pharaoh-ant-15219"
"Pharaoh-ant-16607",3.61542800362738e-113,2.16629888701724,0.49,0.116,4.40648365082105e-109,"29","Pharaoh-ant-16607"
"Pharaoh-ant-00046",4.91299508682552e-113,1.55026900832454,0.258,0.033,5.98795841182295e-109,"29","Pharaoh-ant-00046"
"Pharaoh-ant-181522",5.28398445089424e-113,2.22981221205524,0.588,0.163,6.4401202487499e-109,"29","Pharaoh-ant-18152"
"Pharaoh-ant-174261",3.45984092937355e-111,1.73848841256833,0.364,0.065,4.21685412472048e-107,"29","Pharaoh-ant-17426"
