p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
5.01284416193443e-51,0.630583129060038,0.789,0.507,5.97280381894487e-47,7,AAEL019824
9.35703045965668e-51,0.711506526247315,0.441,0.134,1.11489017926809e-46,7,AAEL027879
3.59549572137607e-50,0.713435284326025,0.701,0.372,4.28403315201958e-46,7,AAEL019681
1.62786450154997e-49,0.323631522782064,0.927,0.852,1.93960055359679e-45,7,AAEL003953
4.36252579623937e-49,0.700809296460827,0.762,0.407,5.19794948621921e-45,7,AAEL009114
6.35620712170044e-49,0.68939728090954,0.709,0.375,7.57342078550607e-45,7,AAEL014636
1.62970588879021e-48,0.606051414171845,0.326,0.077,1.94179456649354e-44,7,AAEL018139
2.62706404051598e-48,0.716967596037452,0.651,0.273,3.13014680427479e-44,7,AAEL021073
7.23409436515853e-48,0.702647569279863,0.498,0.176,8.61942343608639e-44,7,AAEL024602
1.21339413609325e-47,0.71590386771565,0.628,0.294,1.44575911315511e-43,7,AAEL005726
1.49482522696229e-47,0.456455404481563,0.257,0.049,1.78108425792556e-43,7,AAEL019780
2.09300963761305e-47,0.521793205413283,0.287,0.06,2.49382098321594e-43,7,AAEL014022
2.53055675631901e-47,0.687102207565071,0.498,0.166,3.0151583751541e-43,7,AAEL001776
5.35204362202881e-47,0.732817171954204,0.533,0.21,6.37695997564733e-43,7,AAEL021708
5.35410229815298e-46,0.611433755955575,0.395,0.115,6.37941288824928e-42,7,AAEL008902
1.40568977676309e-44,0.438084192057292,0.858,0.721,1.67487936901322e-40,7,AAEL019671
7.4533450277495e-44,0.594826549683451,0.77,0.5,8.88066060056353e-40,7,AAEL014041
1.60995626359888e-43,0.628706540479815,0.724,0.436,1.91826288807806e-39,7,AAEL021554
4.10905600090904e-43,0.663983994011468,0.69,0.353,4.89594022508312e-39,7,AAEL004520
