"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"Pharaoh-ant-0938033",4.63132009742152,55.2238805970149,"Pharaoh-ant-09380","33",2.5
"Pharaoh-ant-0963933",2.82173823759722,37.8109452736318,"Pharaoh-ant-09639","33",0.727799542231204
"Pharaoh-ant-1090433",32.1204408969396,97.0149253731343,"Pharaoh-ant-10904","33",0.688106129231277
"Pharaoh-ant-1205133",20.6909825568103,92.5373134328358,"Pharaoh-ant-12051","33",2.24494858563975
"Pharaoh-ant-1404433",35.8828019896041,96.0199004975124,"Pharaoh-ant-14044","33",2.5
"Pharaoh-ant-1508933",4.49210556787127,45.273631840796,"Pharaoh-ant-15089","33",0.743539638477677
"Pharaoh-ant-1709533",4.06694154426415,41.7910447761194,"Pharaoh-ant-17095","33",0.700169508584218
"Pharaoh-ant-0799134",6.74358848555921,48.4042553191489,"Pharaoh-ant-07991","34",2.5
"Pharaoh-ant-0805334",2.5380363272272,28.7234042553192,"Pharaoh-ant-08053","34",1.75529605907421
"Pharaoh-ant-0963934",3.03758499537286,35.6382978723404,"Pharaoh-ant-09639","34",0.978000851380139
"Pharaoh-ant-1508934",7.1039784774721,53.7234042553192,"Pharaoh-ant-15089","34",2.5
"Pharaoh-ant-1564334",2.93166704337691,29.2553191489362,"Pharaoh-ant-15643","34",0.512726584645215
"Pharaoh-ant-0805335",2.44357509473524,31.0344827586207,"Pharaoh-ant-08053","35",1.61592929144852
"Pharaoh-ant-0811335",4.13873663892554,48.2758620689655,"Pharaoh-ant-08113","35",1.28382718842994
"Pharaoh-ant-1564335",3.77815211721343,36.2068965517241,"Pharaoh-ant-15643","35",1.12426635219521
"Pharaoh-ant-1660735",3.37791012462148,25.2873563218391,"Pharaoh-ant-16607","35",0.628336605273561
