,avg.exp,pct.exp,features.plot,id,avg.exp.scaled,OG
AAEL00649015,2.42776336149783,30.8411214953271,AAEL006490,15,2.37177571543172,OG0000081
AAEL00694715,4.65270337541374,47.6635514018692,AAEL006947,15,0.64945531349409,OG0000004
AAEL01700515,4.78138679691154,35.5140186915888,AAEL017005,15,0.686714278679014,OG0000004
AAEL01733515,1.73543487337944,27.1028037383178,AAEL017335,15,0.576773244552106,OG0000596
AAEL01943715,9.66430806435815,63.5514018691589,AAEL019437,15,0.511667110517575,OG0000006
AAEL01960715,1.85907634701331,27.1028037383178,AAEL019607,15,2.17789270120244,OG0000596
AAEL01975715,5.83455721223645,45.7943925233645,AAEL019757,15,0.725000490351416,OG0000081
AAEL01982115,5.56831226669266,50.4672897196262,AAEL019821,15,0.91800490287813,OG0012955
AAEL02414715,3.39438589485531,45.7943925233645,AAEL024147,15,0.90097540315525,OG0000188
AAEL02512515,8.0883732032784,67.2897196261682,AAEL025125,15,0.817424870131039,OG0000006
AAEL02724215,9.7022816522807,57.9439252336449,AAEL027242,15,0.992418806440253,OG0000006
AAEL00477716,4.87225757315892,39,AAEL004777,16,1.22120179106076,OG0000149
AAEL00537316,4.06515297917364,29,AAEL005373,16,2.5,OG0000158
AAEL00684416,5.76437786991429,48,AAEL006844,16,1.16508454381876,OG0000006
AAEL01168016,12.4737381521207,60,AAEL011680,16,1.76777307219464,OG0000004
AAEL01700516,5.49497933583127,37,AAEL017005,16,1.01884204130217,OG0000004
AAEL02258916,3.04016488264746,33,AAEL022589,16,0.519415854806852,OG0017114
AAEL02604316,10.4062259349066,57,AAEL026043,16,1.65906196267922,OG0000006
AAEL00024617,2.01239806909456,25.7731958762887,AAEL000246,17,2.5,OG0001936
AAEL00383717,6.60131694650538,60.8247422680412,AAEL003837,17,0.533662137613921,OG0000632
AAEL00477717,3.7875733825256,41.2371134020619,AAEL004777,17,0.650769824694972,OG0000149
AAEL00583417,11.6559862251907,79.3814432989691,AAEL005834,17,0.684022447710742,OG0000006
AAEL00628317,3.7606818897108,32.9896907216495,AAEL006283,17,2.5,OG0001884
AAEL00684417,7.32762020101245,45.360824742268,AAEL006844,17,1.77945707164114,OG0000006
AAEL00889417,8.17188253861006,76.2886597938144,AAEL008894,17,0.614836572341444,OG0023874
AAEL00891617,23.0864781070849,94.8453608247423,AAEL008916,17,0.513083917874848,OG0000661
AAEL00902417,17.0848336449173,84.5360824742268,AAEL009024,17,2.01150587653316,OG0000081
AAEL01718117,3.76967263216739,42.2680412371134,AAEL017181,17,2.5,OG0000499
AAEL01966717,37.5171246104181,98.9690721649485,AAEL019667,17,1.89505923625785,OG0001683
AAEL01971417,3.60438780697635,46.3917525773196,AAEL019714,17,1.30869726944572,OG0003786
AAEL01979017,1.8129984260369,29.8969072164948,AAEL019790,17,0.813793214664238,OG0000195
AAEL02448017,2.79226572901993,35.0515463917526,AAEL024480,17,2.05245835920186,OG0000127
AAEL00026618,3.60794135127174,36.8421052631579,AAEL000266,18,1.1043656713022,OG0000006
AAEL00473218,4.90245526504878,36.8421052631579,AAEL004732,18,0.559961742009456,OG0000004
AAEL00498218,3.84597363936671,38.9473684210526,AAEL004982,18,0.510370557268192,OG0000961
