"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Dbi2",4.51058643019268e-236,2.44017953346047,0.653,0.052,5.65447114888955e-232,"48","Dbi"
"CG13255",1.78707295418167e-232,1.63944983620045,0.387,0.018,2.24027465536214e-228,"48","CG13255"
"GstE62",2.22040459323033e-230,1.76541853676241,0.48,0.028,2.78349919807354e-226,"48","GstE6"
"Oatp58Dc1",2.70714384969138e-230,1.72665689606829,0.453,0.025,3.39367552997312e-226,"48","Oatp58Dc"
"fabp3",1.22555424185084e-229,4.34342651848513,0.953,0.138,1.53635479758422e-225,"48","fabp"
"CG43022",1.48805053156997e-227,1.67423990987989,0.393,0.019,1.86542014637611e-223,"48","CG4302"
"CG62182",1.38569908303675e-226,4.18564015981148,0.973,0.151,1.73711237049487e-222,"48","CG6218"
"Ugt35b2",7.86311597607462e-225,3.54600982831902,0.927,0.122,9.85720218760714e-221,"48","Ugt35b"
"CG31999",6.19640275324456e-220,1.37105790519133,0.307,0.012,7.76781049146738e-216,"48","CG31999"
"CG114261",1.1286959550743e-218,1.51013451347236,0.407,0.021,1.41493324928114e-214,"48","CG11426"
"CG300691",4.83671192121627e-218,1.49659979482782,0.38,0.019,6.06330206443671e-214,"48","CG30069"
"CG63573",3.25338635785128e-217,3.07094648125185,0.813,0.091,4.07844513820236e-213,"48","CG6357"
"Spn27A1",3.53800654476866e-217,1.24749991430701,0.32,0.013,4.43524500452199e-213,"48","Spn27A"
"Est-Q1",6.16574673060238e-216,1.99538982591679,0.393,0.02,7.72938010148314e-212,"48","Est-Q"
"CG65431",4.64368851617374e-215,2.12944535844515,0.547,0.041,5.8213279238754e-211,"48","CG6543"
"CG136313",2.15802987364581e-213,2.09592676815675,0.813,0.087,2.70530624960238e-209,"48","CG13631"
"Cyp4g153",1.40792204852803e-206,2.13367139463444,0.673,0.062,1.76497108003474e-202,"48","Cyp4g15"
"CG42390",1.19965288745376e-204,1.13921971774762,0.253,0.009,1.50388485971204e-200,"48","CG42390"
"Cys2",2.56461418613069e-204,2.03855430523701,0.567,0.045,3.21500034373343e-200,"48","Cys"
"ced-63",1.84403888645624e-203,2.21675029880639,0.627,0.055,2.31168714806154e-199,"48","ced-6"
"CG105501",5.33816900401029e-203,1.50796367738732,0.4,0.022,6.6919286634273e-199,"48","CG10550"
"CG104333",2.6425051883237e-202,3.7500396827526,0.84,0.11,3.31264450408259e-198,"48","CG10433"
"Picot2",1.20849490937005e-200,2.64083189511613,0.627,0.056,1.51496921838629e-196,"48","Picot"
"CG320323",2.73190600932538e-200,1.98813594453995,0.707,0.069,3.42471737329029e-196,"48","CG32032"
"Lsd-23",2.57251341085726e-197,2.10899405344179,0.507,0.037,3.22490281185066e-193,"48","Lsd-2"
"CG96912",1.16664225055831e-196,2.84215922425131,0.647,0.061,1.4625027252999e-192,"48","CG9691"
"Aldh4",5.82275300758325e-195,2.33631112592269,0.667,0.066,7.29940317030636e-191,"48","Aldh"
"CG10208",5.95676206387917e-194,1.31725763842567,0.287,0.012,7.46739692327893e-190,"48","CG10208"
"CG11461",1.23181694546659e-193,1.25121965992757,0.333,0.016,1.54420572283692e-189,"48","CG1146"
"GLaz1",3.47187614662769e-192,2.17475809524735,0.387,0.022,4.35234393741247e-188,"48","GLaz"
"AnxB93",4.9561258574633e-192,2.26777025349978,0.78,0.09,6.21299937491599e-188,"48","AnxB9"
"CG167431",8.28090581227789e-190,2.31210352346399,0.547,0.044,1.03809435262716e-185,"48","CG16743"
"Cyp9f23",3.54320788135393e-189,2.17367036101619,0.647,0.063,4.44176540006529e-185,"48","Cyp9f2"
"Cyp28d13",1.38244863615663e-186,2.49081182221833,0.72,0.081,1.73303761028596e-182,"48","Cyp28d1"
"ogre3",8.06032605589451e-186,2.17589441203565,0.813,0.1,1.01044247436694e-181,"48","ogre"
"CR170252",1.62381340163943e-184,1.78065441943964,0.48,0.034,2.03561248029519e-180,"48","CR17025"
"pbl",6.5108524626891e-182,1.33094065475062,0.253,0.01,8.16200464722706e-178,"48","pbl"
"GILT32",2.97802583551454e-181,2.57990495541836,0.64,0.065,3.73325318740103e-177,"48","GILT3"
"SPARC3",2.85526618154698e-180,2.07989139097456,0.733,0.084,3.57936168518729e-176,"48","SPARC"
"CG13890",3.79643558039864e-180,1.55689059427121,0.387,0.024,4.75921164358773e-176,"48","CG13890"
"CG4615",4.98158569649907e-180,2.24998604326794,0.567,0.053,6.24491582913123e-176,"48","CG4615"
"teq",7.81758386647585e-180,1.41947091876521,0.287,0.013,9.80012313501412e-176,"48","teq"
"Msr-1103",1.97423806552948e-179,2.83569988762689,0.94,0.152,2.47490483894775e-175,"48","Msr-110"
"CG44092",2.71889899148401e-177,2.61512326589735,0.927,0.146,3.40841177572435e-173,"48","CG4409"
"CG105131",1.41815738030789e-176,2.79151391487534,0.6,0.058,1.77780209195397e-172,"48","CG10513"
"CG152093",1.8483123043055e-171,3.45408182107981,0.94,0.168,2.31704430467738e-167,"48","CG15209"
"CG15452",4.02283394188743e-171,2.18532413076039,0.733,0.088,5.04302462955008e-167,"48","CG1545"
"CG39021",1.34818439827111e-161,1.34506208770113,0.28,0.014,1.69008396167267e-157,"48","CG3902"
"Inx31",1.39872219134884e-161,1.78051644713889,0.46,0.037,1.75343813907491e-157,"48","Inx3"
"CG78882",7.43263854373976e-160,2.79581674758533,0.773,0.107,9.31755567843217e-156,"48","CG7888"
"CG103112",1.52430885301596e-159,1.38403263319318,0.36,0.023,1.91087357814081e-155,"48","CG10311"
"CG186221",2.71944397425938e-158,1.30624974460747,0.307,0.017,3.40909496613156e-154,"48","CG18622"
"CG30912",1.96818631363051e-157,1.25926892740788,0.353,0.022,2.46731836276721e-153,"48","CG3091"
